Tanggal,Redmi,Xiaomi Flagship,POCO,Black Shark,Other,Sumber
2024-07-23,290853,34299,48933,7774,29725,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-24,254925,30062,42888,6814,26054,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-25,300915,35485,50626,8043,30754,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-26,258669,30503,43518,6914,26436,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-27,271852,32058,45736,7266,27784,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-28,279480,32958,47019,7470,28563,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-29,302076,35622,50821,8074,30873,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-30,284234,33518,47819,7597,29049,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-31,267687,31567,45035,7155,27358,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-01,309756,36528,52113,8280,31658,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-02,300968,35491,50635,8045,30759,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-03,269738,31809,45380,7210,27568,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-04,266863,31470,44897,7133,27274,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-05,260775,30752,43873,6970,26652,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-06,307865,36305,51795,8229,31464,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-07,273040,32198,45936,7298,27905,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-08,279819,32997,47076,7479,28598,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-09,303325,35769,51031,8108,31000,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-10,277895,32771,46753,7428,28401,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-11,302859,35715,50953,8095,30953,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-12,309141,36455,52010,8263,31595,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-13,294141,34686,49486,7862,30062,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-14,260571,30728,43838,6965,26631,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-15,277771,32756,46732,7425,28389,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-16,309433,36490,52059,8271,31624,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-17,279201,32925,46973,7463,28535,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-18,262425,30946,44150,7015,26820,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-19,278416,32832,46840,7442,28454,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-20,260335,30700,43798,6959,26607,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-21,302416,35662,50878,8083,30907,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-22,257439,30358,43311,6881,26311,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-23,260850,30761,43885,6972,26659,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-24,286550,33791,48209,7659,29286,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-25,282128,33270,47465,7541,28834,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-26,256967,30303,43232,6869,26262,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-27,270927,31949,45581,7242,27689,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-28,270265,31871,45469,7224,27621,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-29,276199,32571,46468,7383,28228,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-30,289473,34136,48701,7737,29585,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-08-31,280556,33084,47200,7499,28673,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-01,324056,38214,54519,8662,33119,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-02,282528,33317,47532,7552,28875,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-03,291732,34402,49081,7798,29815,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-04,294402,34717,49530,7869,30088,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-05,291879,34420,49105,7802,29830,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-06,291341,34356,49015,7787,29775,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-07,327331,38600,55070,8749,33454,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-08,300970,35492,50635,8045,30760,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-09,327615,38634,55118,8757,33483,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-10,291061,34323,48968,7780,29747,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-11,325110,38338,54696,8690,33227,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-12,282884,33359,47592,7561,28911,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-13,288987,34079,48619,7724,29535,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-14,336386,39668,56593,8991,34379,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-15,329124,38812,55371,8797,33637,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-16,302037,35618,50814,8073,30869,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-17,309980,36554,52151,8286,31680,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-18,287916,33952,48439,7696,29425,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-19,289853,34181,48765,7748,29623,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-20,320390,37782,53902,8564,32744,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-21,286187,33749,48148,7650,29249,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-22,291291,34350,49006,7786,29770,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-23,318381,37545,53564,8510,32539,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-24,309894,36544,52136,8283,31672,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-25,312414,36841,52560,8351,31929,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-26,319164,37637,53696,8531,32619,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-27,335041,39510,56367,8955,34242,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-28,291883,34420,49106,7802,29831,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-29,312234,36820,52530,8346,31911,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-09-30,314098,37040,52843,8396,32101,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-01,320114,37749,53856,8557,32716,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-02,328805,38774,55318,8789,33604,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-03,336832,39721,56668,9003,34425,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-04,307172,36223,51678,8211,31393,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-05,331500,39092,55771,8861,33880,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-06,353478,41684,59469,9448,36126,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-07,306301,36120,51532,8187,31304,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-08,322945,38083,54332,8632,33005,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-09,334314,39424,56245,8936,34167,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-10,301114,35509,50659,8049,30774,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-11,344061,40573,57885,9197,35164,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-12,308217,36346,51854,8239,31500,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-13,350866,41376,59029,9379,35859,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-14,324714,38292,54629,8679,33186,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-15,348818,41134,58685,9324,35650,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-16,354890,41850,59706,9486,36270,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-17,316823,37361,53302,8469,32380,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-18,301434,35546,50713,8057,30807,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-19,311248,36704,52364,8320,31810,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-20,305431,36018,51385,8164,31215,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-21,324120,38222,54530,8664,33125,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-22,335869,39607,56506,8978,34326,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-23,305851,36067,51456,8175,31258,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-24,293602,34623,49395,7848,30006,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-25,327149,38579,55039,8745,33435,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-26,320030,37739,53841,8554,32707,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-27,302453,35667,50884,8084,30911,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-28,302109,35626,50826,8075,30876,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-29,345736,40771,58166,9241,35335,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-30,292791,34527,49259,7826,29924,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-10-31,301839,35594,50781,8068,30848,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-01,309810,36534,52122,8281,31663,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-02,339509,40036,57119,9075,34698,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-03,297689,35105,50083,7957,30424,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-04,320188,37758,53868,8558,32724,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-05,312984,36908,52656,8366,31987,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-06,302737,35700,50932,8092,30940,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-07,309315,36476,52039,8268,31612,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-08,306564,36151,51576,8194,31331,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-09,316577,37332,53261,8462,32355,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-10,339103,39989,57050,9064,34657,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-11,313396,36957,52725,8377,32029,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-12,318683,37580,53615,8518,32570,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-13,337753,39829,56823,9028,34519,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-14,348362,41080,58608,9312,35603,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-15,341467,40267,57448,9127,34898,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-16,296849,35006,49942,7935,30338,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-17,340503,40154,57286,9102,34800,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-18,347008,40921,58380,9275,35465,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-19,338810,39954,57001,9056,34627,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-20,331799,39127,55821,8869,33910,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-21,344535,40629,57964,9209,35212,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-22,349819,41252,58853,9351,35752,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-23,360430,42503,60638,9634,36836,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-24,333960,39382,56185,8927,34131,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-25,336588,39692,56627,8997,34400,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-26,322511,38032,54259,8621,32961,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-27,316927,37373,53320,8471,32390,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-28,297466,35079,50045,7951,30401,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-29,314591,37098,52927,8409,32152,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-11-30,336491,39681,56611,8994,34390,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-01,365920,43151,61562,9781,37397,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-02,318708,37584,53619,8519,32572,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-03,363301,42842,61121,9711,37130,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-04,364307,42961,61291,9738,37233,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-05,356718,42066,60014,9535,36457,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-06,333458,39323,56101,8913,34080,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-07,335428,39555,56432,8966,34281,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-08,326845,38543,54988,8736,33404,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-09,364795,43018,61373,9751,37283,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-10,329561,38863,55445,8809,33682,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-11,340871,40197,57348,9111,34837,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-12,323087,38100,54356,8636,33020,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-13,302960,35726,50970,8098,30963,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-14,360246,42482,60607,9629,36818,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-15,327751,38650,55140,8761,33497,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-16,309534,36502,52076,8274,31635,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-17,319362,37661,53729,8536,32639,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-18,361318,42608,60788,9658,36927,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-19,317399,37429,53399,8484,32439,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-20,326338,38483,54903,8723,33352,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-21,353139,41644,59412,9439,36091,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-22,362456,42742,60979,9688,37043,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-23,354154,41763,59582,9466,36195,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-24,324968,38322,54672,8686,33212,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-25,313321,36948,52713,8375,32022,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-26,344577,40634,57971,9210,35216,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-27,321088,37864,54019,8583,32816,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-28,325093,38336,54693,8690,33225,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-29,351428,41442,59124,9394,35916,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-12-30,313987,37027,52825,8393,32090,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
