Tanggal,Wilayah,Seri,Penjualan Harian (Unit),Sumber
2024-02-18,Europe,Xiaomi Flagship,7124,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Latin America,Xiaomi Flagship,2968,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Middle East & Africa,Xiaomi Flagship,2375,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Asia,POCO,24563,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Europe,POCO,10164,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Latin America,POCO,4235,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Middle East & Africa,POCO,3388,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Asia,Black Shark,3902,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Europe,Black Shark,1615,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Latin America,Black Shark,673,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Middle East & Africa,Black Shark,538,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Asia,Other,14921,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Europe,Other,6174,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Latin America,Other,2573,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-18,Middle East & Africa,Other,2058,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Asia,Redmi,169710,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Europe,Redmi,70225,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Latin America,Redmi,29260,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Middle East & Africa,Redmi,23408,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Asia,Xiaomi Flagship,20013,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Europe,Xiaomi Flagship,8281,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Latin America,Xiaomi Flagship,3451,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Middle East & Africa,Xiaomi Flagship,2760,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Asia,POCO,28552,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Europe,POCO,11815,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Latin America,POCO,4923,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Middle East & Africa,POCO,3938,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Asia,Black Shark,4536,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Europe,Black Shark,1877,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Latin America,Black Shark,782,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Middle East & Africa,Black Shark,626,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Asia,Other,17345,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Europe,Other,7177,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Latin America,Other,2990,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-19,Middle East & Africa,Other,2392,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Asia,Redmi,151275,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Europe,Redmi,62596,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Latin America,Redmi,26082,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Middle East & Africa,Redmi,20865,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Asia,Xiaomi Flagship,17839,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Europe,Xiaomi Flagship,7382,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Latin America,Xiaomi Flagship,3076,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Middle East & Africa,Xiaomi Flagship,2461,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Asia,POCO,25450,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Europe,POCO,10531,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Latin America,POCO,4388,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Middle East & Africa,POCO,3510,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Asia,Black Shark,4044,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Europe,Black Shark,1673,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Latin America,Black Shark,697,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Middle East & Africa,Black Shark,558,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Asia,Other,15460,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Europe,Other,6397,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Latin America,Other,2666,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-20,Middle East & Africa,Other,2132,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Asia,Redmi,161516,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Europe,Redmi,66834,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Latin America,Redmi,27848,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Middle East & Africa,Redmi,22278,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Asia,Xiaomi Flagship,19047,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Europe,Xiaomi Flagship,7881,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Latin America,Xiaomi Flagship,3284,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Middle East & Africa,Xiaomi Flagship,2627,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Asia,POCO,27173,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Europe,POCO,11244,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Latin America,POCO,4685,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Middle East & Africa,POCO,3748,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Asia,Black Shark,4317,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Europe,Black Shark,1786,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Latin America,Black Shark,744,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Middle East & Africa,Black Shark,595,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Asia,Other,16507,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Europe,Other,6831,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Latin America,Other,2846,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-21,Middle East & Africa,Other,2277,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Asia,Redmi,156405,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Europe,Redmi,64719,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Latin America,Redmi,26966,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Middle East & Africa,Redmi,21573,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Asia,Xiaomi Flagship,18444,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Europe,Xiaomi Flagship,7632,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Latin America,Xiaomi Flagship,3180,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Middle East & Africa,Xiaomi Flagship,2544,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Asia,POCO,26313,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Europe,POCO,10888,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Latin America,POCO,4537,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Middle East & Africa,POCO,3629,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Asia,Black Shark,4181,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Europe,Black Shark,1730,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Latin America,Black Shark,721,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Middle East & Africa,Black Shark,577,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Asia,Other,15985,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Europe,Other,6614,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Latin America,Other,2756,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-22,Middle East & Africa,Other,2205,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Asia,Redmi,146401,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Europe,Redmi,60580,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Latin America,Redmi,25242,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Middle East & Africa,Redmi,20193,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Asia,Xiaomi Flagship,17264,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Europe,Xiaomi Flagship,7144,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Latin America,Xiaomi Flagship,2977,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Middle East & Africa,Xiaomi Flagship,2381,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Asia,POCO,24630,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Europe,POCO,10192,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Latin America,POCO,4247,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Middle East & Africa,POCO,3397,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Asia,Black Shark,3913,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Europe,Black Shark,1619,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Latin America,Black Shark,675,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Middle East & Africa,Black Shark,540,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Asia,Other,14962,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Europe,Other,6191,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Latin America,Other,2580,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-23,Middle East & Africa,Other,2064,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Asia,Redmi,147919,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Europe,Redmi,61208,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Latin America,Redmi,25503,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Middle East & Africa,Redmi,20403,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Asia,Xiaomi Flagship,17443,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Europe,Xiaomi Flagship,7218,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Latin America,Xiaomi Flagship,3007,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Middle East & Africa,Xiaomi Flagship,2406,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Asia,POCO,24886,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Europe,POCO,10298,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Latin America,POCO,4291,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Middle East & Africa,POCO,3433,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Asia,Black Shark,3954,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Europe,Black Shark,1636,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Latin America,Black Shark,682,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Middle East & Africa,Black Shark,545,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Asia,Other,15117,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Europe,Other,6256,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Latin America,Other,2606,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-24,Middle East & Africa,Other,2085,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Asia,Redmi,150469,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Europe,Redmi,62263,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Latin America,Redmi,25943,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Middle East & Africa,Redmi,20754,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Asia,Xiaomi Flagship,17744,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Europe,Xiaomi Flagship,7342,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Latin America,Xiaomi Flagship,3059,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Middle East & Africa,Xiaomi Flagship,2447,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Asia,POCO,25315,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Europe,POCO,10475,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Latin America,POCO,4365,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Middle East & Africa,POCO,3492,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Asia,Black Shark,4022,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Europe,Black Shark,1664,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Latin America,Black Shark,693,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Middle East & Africa,Black Shark,555,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Asia,Other,15378,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Europe,Other,6363,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Latin America,Other,2651,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-25,Middle East & Africa,Other,2121,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Asia,Redmi,152765,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Europe,Redmi,63213,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Latin America,Redmi,26339,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Middle East & Africa,Redmi,21071,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Asia,Xiaomi Flagship,18015,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Europe,Xiaomi Flagship,7454,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Latin America,Xiaomi Flagship,3106,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Middle East & Africa,Xiaomi Flagship,2485,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Asia,POCO,25701,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Europe,POCO,10635,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Latin America,POCO,4431,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Middle East & Africa,POCO,3545,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Asia,Black Shark,4083,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Europe,Black Shark,1690,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Latin America,Black Shark,704,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Middle East & Africa,Black Shark,563,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Asia,Other,15613,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Europe,Other,6460,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Latin America,Other,2692,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-26,Middle East & Africa,Other,2153,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Asia,Redmi,149524,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Europe,Redmi,61872,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Latin America,Redmi,25780,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Middle East & Africa,Redmi,20624,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Asia,Xiaomi Flagship,17633,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Europe,Xiaomi Flagship,7296,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Latin America,Xiaomi Flagship,3040,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Middle East & Africa,Xiaomi Flagship,2432,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Asia,POCO,25156,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Europe,POCO,10409,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Latin America,POCO,4337,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Middle East & Africa,POCO,3470,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Asia,Black Shark,3997,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Europe,Black Shark,1654,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Latin America,Black Shark,689,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Middle East & Africa,Black Shark,551,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Asia,Other,15282,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Europe,Other,6323,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Latin America,Other,2635,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-27,Middle East & Africa,Other,2108,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Asia,Redmi,158268,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Europe,Redmi,65490,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Latin America,Redmi,27288,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Middle East & Africa,Redmi,21830,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Asia,Xiaomi Flagship,18664,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Europe,Xiaomi Flagship,7723,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Latin America,Xiaomi Flagship,3218,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Middle East & Africa,Xiaomi Flagship,2574,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Asia,POCO,26627,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Europe,POCO,11018,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Latin America,POCO,4591,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Middle East & Africa,POCO,3673,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Asia,Black Shark,4230,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Europe,Black Shark,1751,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Latin America,Black Shark,729,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Middle East & Africa,Black Shark,584,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Asia,Other,16175,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Europe,Other,6693,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Latin America,Other,2789,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-28,Middle East & Africa,Other,2231,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Asia,Redmi,142326,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Europe,Redmi,58894,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Latin America,Redmi,24539,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Middle East & Africa,Redmi,19631,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Asia,Xiaomi Flagship,16784,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Europe,Xiaomi Flagship,6945,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Latin America,Xiaomi Flagship,2894,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Middle East & Africa,Xiaomi Flagship,2315,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Asia,POCO,23945,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Europe,POCO,9908,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Latin America,POCO,4128,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Middle East & Africa,POCO,3303,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Asia,Black Shark,3804,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Europe,Black Shark,1574,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Latin America,Black Shark,656,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Middle East & Africa,Black Shark,525,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Asia,Other,14546,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Europe,Other,6019,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Latin America,Other,2508,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-02-29,Middle East & Africa,Other,2006,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Asia,Redmi,166526,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Europe,Redmi,68907,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Latin America,Redmi,28711,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Middle East & Africa,Redmi,22969,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Asia,Xiaomi Flagship,19638,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Europe,Xiaomi Flagship,8126,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Latin America,Xiaomi Flagship,3386,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Middle East & Africa,Xiaomi Flagship,2709,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Asia,POCO,28016,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Europe,POCO,11593,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Latin America,POCO,4830,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Middle East & Africa,POCO,3864,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-03-01,Asia,Black Shark,4451,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
